Start,End,Open,High,Low,Close,Volume,Market
3/31/2013,4/1/2013,93.03,93.03,93.03,93.03,0,0
3/30/2013,3/31/2013,92.19,92.19,92.19,92.19,0,0
3/29/2013,3/30/2013,90.5,90.5,90.5,90.5,0,0
3/28/2013,3/29/2013,86.18,86.18,86.18,86.18,0,0
3/27/2013,3/28/2013,88.92,88.92,88.92,88.92,0,0
3/26/2013,3/27/2013,78.5,78.5,78.5,78.5,0,0
3/25/2013,3/26/2013,73.6,73.6,73.6,73.6,0,0
3/24/2013,3/25/2013,71.5,71.5,71.5,71.5,0,0
3/23/2013,3/24/2013,64.35,64.35,64.35,64.35,0,0
3/22/2013,3/23/2013,69.865,69.865,69.865,69.865,0,0
3/21/2013,3/22/2013,70.85,70.85,70.85,70.85,0,0
3/20/2013,3/21/2013,64.4888,64.4888,64.4888,64.4888,0,0
3/19/2013,3/20/2013,59.14,59.14,59.14,59.14,0,0
3/18/2013,3/19/2013,51.6,51.6,51.6,51.6,0,0
3/17/2013,3/18/2013,47.4,47.4,47.4,47.4,0,0
3/16/2013,3/17/2013,47.0002,47.0002,47.0002,47.0002,0,0
3/15/2013,3/16/2013,46.95,46.95,46.95,46.95,0,0
3/14/2013,3/15/2013,47.1696,47.1696,47.1696,47.1696,0,0
3/13/2013,3/14/2013,46.92,46.92,46.92,46.92,0,0
3/12/2013,3/13/2013,44.2899,44.2899,44.2899,44.2899,0,0
3/11/2013,3/12/2013,48.4,48.4,48.4,48.4,0,0
3/10/2013,3/11/2013,46,46,46,46,0,0
3/9/2013,3/10/2013,46.85,46.85,46.85,46.85,0,0
3/8/2013,3/9/2013,44.18,44.18,44.18,44.18,0,0
3/7/2013,3/8/2013,42,42,42,42,0,0
3/6/2013,3/7/2013,41.0201,41.0201,41.0201,41.0201,0,0
3/5/2013,3/6/2013,40.33,40.33,40.33,40.33,0,0
3/4/2013,3/5/2013,36.152,36.152,36.152,36.152,0,0
3/3/2013,3/4/2013,34.5,34.5,34.5,34.5,0,0
3/2/2013,3/3/2013,34.25,34.25,34.25,34.25,0,0
3/1/2013,3/2/2013,34.5,34.5,34.5,34.5,0,0
2/28/2013,3/1/2013,33.38,33.38,33.38,33.38,0,0
2/27/2013,2/28/2013,30.9012,30.9012,30.9012,30.9012,0,0
2/26/2013,2/27/2013,31.1,31.1,31.1,31.1,0,0
2/25/2013,2/26/2013,30.4,30.4,30.4,30.4,0,0
2/24/2013,2/25/2013,29.89,29.89,29.89,29.89,0,0
2/23/2013,2/24/2013,29.8,29.8,29.8,29.8,0,0
2/22/2013,2/23/2013,30.2454,30.2454,30.2454,30.2454,0,0
2/21/2013,2/22/2013,29.7477,29.7477,29.7477,29.7477,0,0
2/20/2013,2/21/2013,29.645,29.645,29.645,29.645,0,0
2/19/2013,2/20/2013,29.4176,29.4176,29.4176,29.4176,0,0
2/18/2013,2/19/2013,26.95,26.95,26.95,26.95,0,0
2/17/2013,2/18/2013,26.8146,26.8146,26.8146,26.8146,0,0
2/16/2013,2/17/2013,27.2158,27.2158,27.2158,27.2158,0,0
2/15/2013,2/16/2013,27.1,27.1,27.1,27.1,0,0
2/14/2013,2/15/2013,27.2205,27.2205,27.2205,27.2205,0,0
2/13/2013,2/14/2013,24.2,24.2,24.2,24.2,0,0
2/12/2013,2/13/2013,25.1698,25.1698,25.1698,25.1698,0,0
2/11/2013,2/12/2013,24.65,24.65,24.65,24.65,0,0
2/10/2013,2/11/2013,23.9698,23.9698,23.9698,23.9698,0,0
2/9/2013,2/10/2013,23.65,23.65,23.65,23.65,0,0
2/8/2013,2/9/2013,22.66,22.66,22.66,22.66,0,0
2/7/2013,2/8/2013,22.15,22.15,22.15,22.15,0,0
2/6/2013,2/7/2013,21.18,21.18,21.18,21.18,0,0
2/5/2013,2/6/2013,20.6,20.6,20.6,20.6,0,0
2/4/2013,2/5/2013,20.4301,20.4301,20.4301,20.4301,0,0
2/3/2013,2/4/2013,20.59,20.59,20.59,20.59,0,0
2/2/2013,2/3/2013,19.63,19.63,19.63,19.63,0,0
2/1/2013,2/2/2013,20.499,20.499,20.499,20.499,0,0
1/31/2013,2/1/2013,20.41,20.41,20.41,20.41,0,0
1/30/2013,1/31/2013,19.7,19.7,19.7,19.7,0,0
